,product,land,feed,farm,processing,transport,packaging,retail
0,Apples,-0.029,0.0,0.225,0.004,0.096,0.044,0.017
1,Bananas,-0.025,0.0,0.266,0.059,0.292,0.065,0.021
2,Barley,0.009,0.0,0.176,0.128,0.035,0.497,0.264
3,Beef (beef herd),16.278,1.878,39.388,1.269,0.346,0.247,0.164
4,Beef (dairy herd),0.906,2.508,15.689,1.108,0.424,0.268,0.182
5,Beet Sugar,0.0,0.0,0.536,0.242,0.629,0.09,0.039
6,Berries & Grapes,0.025,0.0,0.722,0.0,0.238,0.212,0.017
7,Brassicas,0.002,0.0,0.278,0.0,0.095,0.045,0.017
8,Cane Sugar,1.247,0.0,0.485,0.037,0.784,0.083,0.036
9,Cassava,0.589,0.0,0.22,0.0,0.094,0.045,0.039
10,Cheese,4.455,2.346,13.059,0.738,0.138,0.172,0.332
11,Citrus Fruit,-0.146,0.0,0.307,0.0,0.094,0.045,0.017
12,Coffee,3.688,0.0,10.386,0.592,0.13,1.63,0.051
13,Dark Chocolate,14.308,0.0,3.706,0.185,0.061,0.4,0.021
14,Eggs,0.709,2.2,1.317,0.0,0.084,0.161,0.036
15,Fish (farmed),0.534,0.819,3.598,0.02,0.111,0.061,0.04
16,Groundnuts,0.439,0.0,1.425,0.372,0.12,0.099,0.042
17,Lamb & Mutton,0.468,2.37,19.508,1.111,0.49,0.251,0.217
18,Maize,0.315,0.0,0.475,0.052,0.06,0.06,0.026
19,Milk,0.495,0.236,1.458,0.149,0.09,0.097,0.256
20,Nuts,-2.052,0.0,2.126,0.032,0.067,0.078,0.027
21,Oatmeal,0.001,0.0,1.37,0.042,0.067,0.066,0.029
22,Olive Oil,-0.377,0.0,4.272,0.66,0.482,0.861,0.046
23,Onions & Leeks,0.005,0.0,0.211,0.0,0.095,0.045,0.039
24,Other Fruit,0.126,0.0,0.369,0.015,0.182,0.042,0.016
25,Other Pulses,0.033,0.0,1.089,0.0,0.096,0.353,0.039
26,Other Vegetables,0.001,0.0,0.174,0.06,0.164,0.041,0.015
27,Palm Oil,3.096,0.0,2.107,1.264,0.208,0.886,0.044
28,Peas,0.0,0.0,0.717,0.0,0.095,0.045,0.039
29,Pig Meat,1.535,2.94,1.694,0.284,0.343,0.296,0.19
30,Potatoes,-0.001,0.0,0.193,0.0,0.094,0.045,0.039
31,Poultry Meat,2.54,1.775,0.672,0.44,0.276,0.212,0.177
32,Rapeseed Oil,0.212,0.0,2.343,0.193,0.19,0.844,0.046
33,Rice,-0.022,0.0,3.553,0.065,0.096,0.084,0.063
34,Root Vegetables,0.013,0.0,0.154,0.0,0.114,0.045,0.039
35,Shrimps (farmed),0.206,2.51,8.379,0.0,0.206,0.334,0.219
36,Soybean Oil,3.096,0.0,1.519,0.311,0.299,0.849,0.043
37,Soymilk,0.18,0.0,0.093,0.163,0.11,0.098,0.27
38,Sunflower Oil,0.133,0.0,2.148,0.229,0.201,0.853,0.043
39,Tofu,0.958,0.0,0.495,0.794,0.177,0.177,0.27
40,Tomatoes,0.372,0.0,0.704,0.012,0.177,0.145,0.017
41,Wheat & Rye,0.1,0.0,0.847,0.217,0.129,0.09,0.058
42,Wine,-0.061,0.0,0.626,0.139,0.093,0.749,0.039
